Title,Location,Price,Area
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),"€4,750 per month",155 m²
Apartment Oudezijds Voorburgwal,1012 EM Amsterdam (Burgwallen-Oude Zijde),"€2,950 per month",130 m²
Apartment Cornelis Vermuydenstraat,1018 RN Amsterdam (Oostelijke Eilanden/Kadijken),"€2,000 per month",70 m²
Apartment KNSM-laan,1019 LG Amsterdam (Oostelijk Havengebied),"€1,850 per month",60 m²
Apartment Michelangelostraat 39 hs,1077 BR Amsterdam (Apollobuurt),"€4,650 per month",200 m²
Apartment Hembrugstraat,1013 XD Amsterdam (Spaarndammer- en Zeeheldenbuurt),"€1,950 per month",40 m²
Apartment Revaleiland,1014 ZG Amsterdam (Houthavens),"€3,750 per month",155 m²
Apartment Nachtwachtlaan 98,1058 EC Amsterdam (Overtoomse Veld),"€1,450 per month",58 m²
Apartment Buitendraaierij,1021 NM Amsterdam (IJplein/Vogelbuurt),"€1,500 per month",46 m²
Apartment Gerrit van der Veenstraat,1077 EE Amsterdam (Apollobuurt),"€3,475 per month",162 m²
Apartment Derde Oosterparkstraat,1092 EH Amsterdam (Oosterparkbuurt),"€2,200 per month",106 m²
Apartment Koningslaan 24 C,1075 AD Amsterdam (Willemspark),"€3,950 per month",83 m²
Apartment Brederodestraat,1054 VD Amsterdam (Overtoomse Sluis),"€1,950 per month",43 m²
Apartment Termini 405,1025 XM Amsterdam (Buikslotermeer),"€1,480 per month",69 m²
Apartment Stadionweg,1077 SV Amsterdam (Apollobuurt),"€2,250 per month",58 m²
Apartment Westerstraat,1015 LZ Amsterdam (Jordaan),"€1,850 per month",50 m²
Apartment Willem Frederik Hermansstraat,1011 DG Amsterdam (Nieuwmarkt/Lastage),"€2,000 per month",90 m²
Apartment Kerkstraat 113 4,1017 GD Amsterdam (Grachtengordel-Zuid),"€1,995 per month",58 m²
Apartment Runstraat 23 III,1016 GJ Amsterdam (Grachtengordel-West),"€2,000 per month",60 m²
House Prinsengracht,1015 DP Amsterdam (Grachtengordel-West),"€1,750 per month",50 m²
Apartment Keizersgracht 680 II+III,1017 ET Amsterdam (Grachtengordel-Zuid),"€3,950 per month",125 m²
Apartment Keizersgracht,1016 EX Amsterdam (Grachtengordel-West),"€2,100 per month",60 m²
Apartment Wouwermanstraat 1 1+2,1071 LT Amsterdam (Museumkwartier),"€3,000 per month",140 m²
Apartment Sloterkade 138 D,1058 HM Amsterdam (Hoofddorppleinbuurt),"€2,600 per month",106 m²
Apartment Rooseveltlaan,1079 AM Amsterdam (Scheldebuurt),"€4,500 per month",121 m²
Apartment Da Costastraat,1053 ZD Amsterdam (Da Costabuurt),"€1,750 per month",46 m²
Studio Ferdinand Bolstraat,1072 LM Amsterdam (Oude Pijp),"€1,525 per month",35 m²
Apartment Vierwindenstraat,1013 CW Amsterdam (Haarlemmerbuurt),"€2,350 per month",75 m²
Apartment Kleine Wittenburgerstraat,1018 LZ Amsterdam (Oostelijke Eilanden/Kadijken),"€1,900 per month",60 m²
Apartment Maria Austriastraat,1087 JC Amsterdam (IJburg West),"€1,950 per month",39 m²
Apartment Biesboschstraat,1078 MK Amsterdam (Scheldebuurt),"€2,100 per month",80 m²
